ensemble,form,starting_class,item_id,dimensions,perturbation_trials,family_flips,family_flip_rate,posture_flips,posture_flip_rate,routing_flips,routing_flip_rate,full_archetype_flips,full_archetype_flip_rate,mean_dimension_l1,max_dimension_l1,omission_trials,omission_full_archetype_flip_rate,neutralisation_trials,neutralisation_full_archetype_flip_rate
boundaryFocused,targeted:institutionalist|constructivist,pure,in2,institutions,94,12,0.12766,0,0,18,0.191489,20,0.212766,0.244149,0.99,25,0.28,25,0.2
boundaryFocused,targeted:institutionalist|constructivist,pure,ni2,normsIdentity,96,31,0.322917,0,0,16,0.166667,37,0.385417,0.328333,1.36,25,0.48,25,0.4
boundaryFocused,targeted:institutionalist|constructivist,pure,oj1,orderJustice,95,2,0.021053,0,0,15,0.157895,15,0.157895,0.278421,1.08,25,0.12,25,0.12
boundaryFocused,targeted:institutionalist|constructivist,pure,oj2,orderJustice,92,5,0.054348,0,0,18,0.195652,18,0.195652,0.324891,0.92,25,0.16,25,0.16
boundaryFocused,targeted:institutionalist|constructivist,pure,pe2,politicalEconomy,94,6,0.06383,0,0,10,0.106383,13,0.138298,0.305106,1.38,25,0.2,25,0.12
boundaryFocused,targeted:institutionalist|constructivist,pure,rs2,restraint,92,4,0.043478,8,0.086957,11,0.119565,17,0.184783,0.181087,0.56,25,0.2,25,0.16
boundaryFocused,targeted:institutionalist|constructivist,pure,sc2,securityCompetition,96,8,0.083333,0,0,22,0.229167,26,0.270833,0.250521,0.81,25,0.28,25,0.28
boundaryFocused,targeted:institutionalist|constructivist,pure,tradeoff_intervention,domesticFilters|institutions|normsIdentity|orderJustice|restraint,75,14,0.186667,2,0.026667,11,0.146667,22,0.293333,0.887067,1.88,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,pure,v21_df_rev_04,domesticFilters,92,11,0.119565,0,0,13,0.141304,17,0.184783,0.709891,3,25,0.16,25,0.2
boundaryFocused,targeted:institutionalist|constructivist,pure,v21_in_rev_03,institutions,90,9,0.1,0,0,17,0.188889,18,0.2,0.258333,0.92,25,0.24,25,0.16
boundaryFocused,targeted:institutionalist|constructivist,pure,v21_ni_rev_05,normsIdentity,94,27,0.287234,0,0,13,0.138298,34,0.361702,0.371489,1.34,25,0.36,25,0.4
boundaryFocused,targeted:institutionalist|constructivist,pure,v21_pe_rev_02,politicalEconomy,93,10,0.107527,0,0,17,0.182796,23,0.247312,0.344624,1.62,25,0.4,25,0.28
boundaryFocused,targeted:institutionalist|constructivist,pure,v21_rs_rev_04,restraint,95,1,0.010526,14,0.147368,14,0.147368,26,0.273684,0.198947,0.55,25,0.32,25,0.28
boundaryFocused,targeted:institutionalist|constructivist,pure,v21_sc_rev_02,securityCompetition,94,11,0.117021,0,0,22,0.234043,33,0.351064,0.283723,1.03,25,0.44,25,0.4
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,an_case_rising_power_voice,domesticFilters|institutions|normsIdentity|politicalEconomy|securityCompetition,120,68,0.566667,0,0,91,0.758333,106,0.883333,0.9685,1.65,0,0,0,0
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,an_case_sanctions_alignment,domesticFilters|institutions|normsIdentity|orderJustice|politicalEconomy|restraint,120,62,0.516667,13,0.108333,72,0.6,86,0.716667,0.801833,1.83,0,0,0,0
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,an_tradeoff_ceasefire_settlement,domesticFilters|institutions|orderJustice|politicalEconomy|restraint,120,58,0.483333,10,0.083333,72,0.6,87,0.725,0.716167,1.42,0,0,0,0
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,an_tradeoff_energy_alignment,domesticFilters|institutions|normsIdentity|orderJustice|politicalEconomy|restraint,120,65,0.541667,8,0.066667,59,0.491667,86,0.716667,0.85075,1.89,0,0,0,0
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,an_tradeoff_tech_order,institutions|normsIdentity|orderJustice|politicalEconomy|restraint|securityCompetition,120,66,0.55,1,0.008333,87,0.725,101,0.841667,0.964167,1.96,0,0,0,0
