ensemble,form,form_group,starting_class,base_vectors,answer_perturbation_trials,primary_family_flip_rate,posture_flip_rate,pure_blend_transition_rate,full_archetype_flip_rate,pure_to_blend_rate,blend_to_pure_rate,median_item_influence,maximum_item_influence,maximum_influence_item,top_flip_item,top_item_flip_concentration,top_two_item_flip_concentration,top_flip_dimension,top_dimension_flip_concentration,masked_family_flip_rate,amplified_archetype_flip_rate,omission_full_archetype_flip_rate,neutralisation_full_archetype_flip_rate,direct_posture_dimension_trials,direct_posture_dimension_flip_rate,diagnostic_item_rows
canonical,targeted:realist|criticalPoliticalEconomy,targeted,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
canonical,targeted:institutionalist|constructivist,targeted,all,16,1136,0.003521,0.019366,0.007923,0.029049,0.007923,0,0.03125,0.104167,tradeoff_intervention,rs2,0.181818,0.333333,restraint,0.319444,0,0.025528,0.022321,0.03125,32,0,19
canonical,targeted:institutionalist|constructivist,targeted,pure,16,1136,0.003521,0.019366,0.007923,0.029049,0.007923,0,0.03125,0.104167,tradeoff_intervention,rs2,0.181818,0.333333,restraint,0.319444,0,0.025528,0.022321,0.03125,32,0,19
canonical,targeted:institutionalist|constructivist,targeted,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
canonical,targeted:institutionalist|criticalPoliticalEconomy,targeted,all,16,1136,0.00088,0.009683,0.00088,0.011444,0.00088,0,0,0.109375,v21_rs_rev_04,v21_rs_rev_04,0.538462,0.769231,restraint,0.52381,0,0.010563,0.03125,0.013393,32,0,19
canonical,targeted:institutionalist|criticalPoliticalEconomy,targeted,pure,16,1136,0.00088,0.009683,0.00088,0.011444,0.00088,0,0,0.109375,v21_rs_rev_04,v21_rs_rev_04,0.538462,0.769231,restraint,0.52381,0,0.010563,0.03125,0.013393,32,0,19
canonical,targeted:institutionalist|criticalPoliticalEconomy,targeted,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
canonical,targeted:constructivist|criticalPoliticalEconomy,targeted,all,16,1136,0.005282,0.012324,0.012324,0.024648,0.012324,0,0.020833,0.125,v21_rs_rev_04,v21_rs_rev_04,0.285714,0.428571,restraint,0.390244,0,0.019366,0.026786,0.044643,32,0,19
canonical,targeted:constructivist|criticalPoliticalEconomy,targeted,pure,16,1136,0.005282,0.012324,0.012324,0.024648,0.012324,0,0.020833,0.125,v21_rs_rev_04,v21_rs_rev_04,0.285714,0.428571,restraint,0.390244,0,0.019366,0.026786,0.044643,32,0,19
canonical,targeted:constructivist|criticalPoliticalEconomy,targeted,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
canonical,fullExtended,full,all,16,2976,0,0,0,0,0,0,0,0,an_case_burdens,,0,0,,0,0,0,0,0,32,0,68
canonical,fullExtended,full,pure,16,2976,0,0,0,0,0,0,0,0,an_case_burdens,,0,0,,0,0,0,0,0,32,0,68
canonical,fullExtended,full,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
responseStyleStress,core,core,all,24,1213,0.492993,0.027205,0.203627,0.621599,0,0.203627,0.6416065,0.767442,v21_in_rev_03,v21_in_rev_03,0.087533,0.17374,institutions,0.17374,0.052762,0.181369,0.419643,0.678571,48,0.1875,14
responseStyleStress,core,core,pure,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
responseStyleStress,core,core,blend,24,1213,0.492993,0.027205,0.203627,0.621599,0,0.203627,0.6416065,0.767442,v21_in_rev_03,v21_in_rev_03,0.087533,0.17374,institutions,0.17374,0.052762,0.181369,0.419643,0.678571,48,0.1875,14
responseStyleStress,targeted:realist|institutionalist,targeted,all,24,1579,0.231159,0.025966,0.276124,0.357188,0.124129,0.151995,0.321839,0.763889,an_tradeoff_evidence,an_tradeoff_evidence,0.097518,0.180851,institutions,0.214346,0.060798,0.186827,0.354167,0.360119,48,0,38
responseStyleStress,targeted:realist|institutionalist,targeted,pure,15,1009,0.117939,0.026759,0.194252,0.269574,0.194252,0,0.267857,0.644444,an_tradeoff_evidence,an_tradeoff_evidence,0.106618,0.205882,institutions,0.208406,0,0.151635,0.238095,0.228571,30,0,19
responseStyleStress,targeted:realist|institutionalist,targeted,blend,9,570,0.431579,0.024561,0.421053,0.512281,0,0.421053,0.483871,0.962963,an_tradeoff_evidence,an_tradeoff_evidence,0.089041,0.178082,institutions,0.21987,0.168421,0.249123,0.547619,0.579365,18,0,19
responseStyleStress,targeted:realist|constructivist,targeted,all,24,1578,0.336502,0.030418,0.309886,0.503802,0.200253,0.109632,0.436782,0.861111,an_tradeoff_rival,an_tradeoff_rival,0.077987,0.154717,normsIdentity,0.206897,0.089987,0.257288,0.482143,0.455357,48,0,38
responseStyleStress,targeted:realist|constructivist,targeted,pure,13,839,0.20739,0.039333,0.376639,0.486293,0.376639,0,0.461538,0.846154,an_tradeoff_parallel_order,an_tradeoff_parallel_order,0.080882,0.161765,normsIdentity,0.212792,0,0.278903,0.494505,0.445055,26,0,19
responseStyleStress,targeted:realist|constructivist,targeted,blend,11,739,0.483085,0.020298,0.2341,0.523681,0,0.2341,0.560976,0.878788,an_tradeoff_rival,sc2,0.077519,0.155039,normsIdentity,0.200531,0.192152,0.232747,0.467532,0.467532,22,0,19
responseStyleStress,targeted:realist|criticalPoliticalEconomy,targeted,all,24,1578,0.235108,0.031052,0.271229,0.352978,0.121673,0.149556,0.337209,0.736111,tradeoff_interdependence,tradeoff_interdependence,0.095153,0.174147,institutions,0.187822,0.048162,0.166033,0.363095,0.318452,48,0,38
responseStyleStress,targeted:realist|criticalPoliticalEconomy,targeted,pure,16,1052,0.126426,0.01616,0.18251,0.241445,0.18251,0,0.189655,0.6875,tradeoff_interdependence,tradeoff_interdependence,0.129921,0.232283,institutions,0.19224,0,0.115019,0.214286,0.21875,32,0,19
responseStyleStress,targeted:realist|criticalPoliticalEconomy,targeted,blend,8,526,0.452471,0.060837,0.448669,0.576046,0,0.448669,0.586207,0.875,an_case_middle_power,an_case_middle_power,0.069307,0.138614,politicalEconomy,0.198664,0.144487,0.268061,0.660714,0.517857,16,0,19
responseStyleStress,targeted:institutionalist|constructivist,targeted,all,24,1575,0.136508,0.011429,0.129524,0.192381,0.036825,0.092698,0.206897,0.486111,case_semiconductors,case_semiconductors,0.115512,0.191419,institutions,0.189873,0.022857,0.07873,0.202381,0.202381,48,0,38
responseStyleStress,targeted:institutionalist|constructivist,targeted,pure,20,1308,0.060398,0.010703,0.044343,0.097859,0.044343,0,0.083333,0.4,case_semiconductors,case_semiconductors,0.1875,0.289063,securityCompetition,0.208861,0,0.037462,0.107143,0.114286,40,0,19
responseStyleStress,targeted:institutionalist|constructivist,targeted,blend,4,267,0.509363,0.014981,0.546816,0.655431,0,0.546816,0.8,0.933333,v21_df_rev_04,ni2,0.08,0.16,institutions,0.208861,0.134831,0.280899,0.678571,0.642857,8,0,19
responseStyleStress,targeted:institutionalist|criticalPoliticalEconomy,targeted,all,24,1575,0.20381,0.04,0.208254,0.303492,0.085079,0.123175,0.241379,0.805556,an_case_rising_power_voice,an_case_rising_power_voice,0.121339,0.213389,institutions,0.190432,0.045714,0.145397,0.3125,0.300595,48,0.0625,38
responseStyleStress,targeted:institutionalist|criticalPoliticalEconomy,targeted,pure,17,1123,0.091719,0.016028,0.119323,0.175423,0.119323,0,0.129032,0.745098,an_case_rising_power_voice,an_case_rising_power_voice,0.192893,0.335025,institutions,0.208,0,0.083704,0.151261,0.168067,34,0.029412,19
responseStyleStress,targeted:institutionalist|criticalPoliticalEconomy,targeted,blend,7,452,0.482301,0.099558,0.429204,0.621681,0,0.429204,0.583333,0.952381,an_case_rising_power_voice,sc2,0.074733,0.149466,institutions,0.174912,0.159292,0.298673,0.704082,0.622449,14,0.142857,19
responseStyleStress,targeted:constructivist|criticalPoliticalEconomy,targeted,all,24,1570,0.343949,0.032484,0.340764,0.498726,0.064968,0.275796,0.488372,0.791667,an_case_middle_power,ni2,0.076628,0.15198,institutions,0.215724,0.06879,0.223567,0.526786,0.517857,48,0.020833,38
responseStyleStress,targeted:constructivist|criticalPoliticalEconomy,targeted,pure,10,654,0.148318,0.025994,0.155963,0.269113,0.155963,0,0.222222,0.866667,an_case_middle_power,an_case_middle_power,0.147727,0.261364,institutions,0.265306,0,0.120795,0.3,0.271429,20,0,19
responseStyleStress,targeted:constructivist|criticalPoliticalEconomy,targeted,blend,14,916,0.483624,0.037118,0.472707,0.662664,0,0.472707,0.693878,0.857143,an_tradeoff_energy_alignment,ni2,0.069193,0.136738,institutions,0.198779,0.117904,0.296943,0.688776,0.693878,28,0.035714,19
responseStyleStress,fullExtended,full,all,24,4045,0.111743,0.017553,0.073177,0.109271,0.03115,0.042027,0.0571445,0.347222,tradeoff_alliances,tradeoff_alliances,0.056561,0.106335,institutions,0.20352,0.070457,0.067985,0.160714,0.145833,48,0.041667,136
responseStyleStress,fullExtended,full,pure,18,3072,0.008789,0.022461,0.041016,0.06543,0.041016,0,0.031818,0.240741,tradeoff_interdependence,tradeoff_interdependence,0.064677,0.114428,restraint,0.219931,0,0.056641,0.087302,0.083333,36,0.055556,68
responseStyleStress,fullExtended,full,blend,6,973,0.436793,0.002055,0.174717,0.247688,0,0.174717,0,0.944444,tradeoff_alliances,tradeoff_alliances,0.070539,0.136929,securityCompetition,0.21931,0.292909,0.103803,0.380952,0.333333,12,0,68
